А,источник деривации,лемма греч.,часть речи ,фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки,,
авва,,ἀββᾶ,м.,авъва,,,,,"отец (о настоятеле монастыря, о монахе - старце)",,"СлРЯ, 1, 19; Срз. I, 5; СДРЯ I, 71-72","SJS I, 4; Стболг. I, 3","Патерик Син., 46. XI в.","АЮБ III, 183. 1685 г.",XI в.,,"Авъва Полухронии, иже тоя же новыя лавъры прозвутеръ, повѣдаше ми. Патерик Син., 46. XI в.
гл҃ху о аввѣ Стратиги (περὶ τοῦ ἀββᾶ Στρατηγίου). Патерик Син., л. 70. XI в.",религия. богослужение,,,,,
августалиевъ,августалий,αὐγουστάλιος,прил.,,,,,,относящийся к августалию,,"СлРЯ, 1, 19",,"Патерик Син., 373. XI в.",,XI в.,,"Азъ же помыслихъ рекы: нѣ въдова есть, да бѣду еи нѣкто творить и яко же знаемъ сы подругу августалиеву пожьдахъ да же си м҃лтву коньчаеть. Патерик Син., 373. XI в.",государство. должности и титулы,,,,,
августалий,,αὐγουστάλιος,м.,,,,,,"титул царя, членов царской семьи",,"СлРЯ, 1, 19; СлРЯ (доп.), 8",,"ВМЧ, Окт. 19-31, 1600. XVI в.",,XVI в.,,"Блаженный же и благочестивый Артемий, яко преже речено есть, саномъ дуксъ и августалий Костянтиемъ царемъ поставленомъ во всемъ Египтѣ, правды ради и непорочнаго ради его дѣяния повелѣние имяше и сурийскими вещми пещися. ВМЧ, Окт. 19-31, 1600. XVI в.",государство. должности и титулы,,Сл.виз.: Августал (префект августал) — наместник (префект) Египта с IV в. В византийскую эпоху было два А. — Верхнего и Нижнего Египта.,,,
августальский,августалий,αὐγουστάλιος,прил.,,,,,,относящийся к августалию,,"СлРЯ, 1, 19",,"ВМЧ, Ноябрь 13-15, 989. XVI в.",,XVI в.,,"Санъ…августальскы. ВМЧ, Ноябрь 13-15, 989. XVI в.",государство. должности и титулы,,,,,
августилинъ,,αὐγουστάλιος?,м.,,,,,,"титул царя, членов царской семьи",,"СлРЯ, 1, 19",,,,XVII в.,XVI-XVII вв.,"И потомъ повелѣ царь Давидъ по всему граду Иерусалиму проповѣдникомъ вопити, чтобъ стекалися князу и бояра и августилины. Пов. о Соломоне 2, 141. XVII в. ~ XVI-XVII вв.",государство. должности и титулы,,,,,
августный,августъ,,прил.,,,,,,относящийся к месяцу август,,"СлРЯ, 1, 20",,,"РИБ VI, 257. 1390 г.",,,"Собака же аще по грѣхомъ въ церковь вьскочить, святити водою, священиемъ августнымъ, и церковь покропити, и потомъ же служити. (Ответы мт. Кипр.) РИБ VI, 257. 1390 г.",календарь. месяцы,,,,,
августовый,августъ,,прил.,,,,,,относящийся к месяцу август,,"СлРЯ, 1, 20",,,"Львов.лет. I, 254. XVI в.",,,"(1438): Двоенадесятного дня календръ августовыхъ. Львов. Лет. I, 254.",календарь. месяцы,,,,,
августский,августъ,,прил.,,,,,,относящийся к месяцу август,,"СлРЯ, 1, 20; СДРЯ, I, 72",,,"АЮБ II, 288. 1622 г.",,,"Августьская лун<а> настан<е>ть авгус<та> въ 3, а конч<аеться> авгус<та> въ 30. Палея Толк.1, 24. 1406~XIII в.",календарь. месяцы,,,,,
августъ,,αὔγουστος,м.,,,от лат. augustus,,греч.,"1. август, название месяца. 2. имя Август. 3. титул императора или царя.",mensis,"СлРЯ, 1, 19; Срз. I, 5; ФГcэ, III, 25; СДРЯ, I, 72","SJS I, 10; Стболг. I, 3; Стболг. I, 6; Грц.макед., 58","1 знач. Остр. ев., 282 об., 283 и др.","1 знач., 2 знач.; Ул.Ал., 291. 1649 г., Спафарий. О сивиллах, 92. 1672 г.",1057 г.,,"ищи аугоста въ .ѕ҃. Остр. ев., 282 об. Мс҃ца аугуста (μὴν αὔγουστος). Остр. ев., 283.",календарь. месяцы,,,,,
авдияне,,Αὐδιανοί,мн.,,,,,,"название членов секты, распространенной в Сирии в IV веке",,"СлРЯ (доп.), 8; СДРЯ, I, 72",,"Ефр. корм., 666. XII в.",,ΧΙΙ в.,,"Авдияне распьрѣние покорение, не убо ереса си прѣбывание и житие съучинено сътяжавъша, суть же по вьсему вѣру имуще, якоже и съборьная ц҃ркы (Αὐδιανοί). (Епиф.Кипр. о ерес., 70) Ефр. корм., 666. XII в.",религия. ереси и секты,,"схизматическая христианская секта IV-V вв. Основана Авдием Эдесским в Месопотамии, распространилась, также, в Сирии и Египте. Учение Авдия заключалось в антропоморфизме Бога. Последние упоминания относятся к X в.",,,
