,источник деривации,лемма греч.,часть речи ,фонетич. и графическая вариантность для русского языка 11-17 вв.,морфологическая вариативность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях славянских языков,переводные источники,оригинальные источники,дата создания списков,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация, связывающие отсылки
авва,,ἀββᾶ,м.,"ав'ва, авъва, авьва, ава",,,,,,,"СлРЯ, 1, 19; Срз. I, 5","Стболг. I, 3",,,,XI в.,"

гл҃ху о аввѣ Стратиги (περὶ τοῦ ἀββᾶ Στρατηγίου). Патерик Син., л. 70.

",,,,
августалиевъ,,αὐγουστάλιος,прил.,,,,,,,,"СлРЯ, 1, 19; СлРЯ (доп.), 8",,,,,,,,,,
августалий,,αὐγουστάλιος,м.,,,,,,,,"СлРЯ, 1, 19",,,,,,,,,,
августальский,,αὐγουστάλιος,прил.,,,,,,,,"СлРЯ, 1, 19",,,,,,,,,,
августилинъ,,,м.,,,,,,,,"СлРЯ, 1, 19",,,,,,,,,,
августный,,,прил.,,,,,,,,"СлРЯ, 1, 20",,,,,,,,,,
августовый,,,прил.,,,,,,,,"СлРЯ, 1, 20",,,,,,,,,,
августский,,,прил.,,,,,,,,"СлРЯ, 1, 20",,,,,,,,,,
августъ,,αὔγουστος,м.,"авъгустъ, аугостъ, аугустъ",,от лат. augustus,,да,"1. август, название месяца. 2. имя Август. 3. титул императора или царя.",mensis,"

СлРЯ, 1, 19; Срз. I, 5; ФГcэ, III, 25","Стболг. I, 3; Стболг. I, 6

","1 знач. Остр. ев., 282 об., 283 и др.","1 знач., 3 знач.",,1057 г.,"ищи аугоста въ .ѕ҃. Остр. ев., 282 об. Мс҃ца аугуста (μὴν αὔγουστος). Остр. ев., 283.",названия месяцев,,,
автономъ,,αὐτονόμος,м.,,,,,,,autonomus,"ФГcэ, III, 25",,,,,,,,,,
автургия,,,ж.,,,,,,,,"СлРЯ (доп.), 8",,,,,,,,,,
агафонъ,,Ἀγάθων,м.,"Гопонъ, Агафья, Гапья, Гапуся",,,,,,nomen proprium,"ФГcэ, III, 25",,,,,,,,,,
