,источник деривации,лемма польск.,часть речи, фонетическая вариативность для русского языка 11-17 вв.,морфологическая вариантивность для русского языка 11-17 вв.,этимология,гапакс,язык-посредник,семантика,толкование Фасмера,фиксация в исторических словарях русского языка,фиксация в словарях восточнославянских языков,переводные источники,оригинальные источники,дата создания списка,дата появления источника,цитата первой и ранней фиксации,тематическая группа,дополнительная филологическая информация,дополнительная историко-культурная информация,связывающие отсылки
абецадло,,abecadło,с.,обецадло,," Из польск. abecadło 1779, abiecadło XVI в., obiecadło XV-XVII в. ‛азбука’,
‛умение читать и писать’, происходящего из ст.-польск.
obiecado 1440 < (ср.-в.-нем. abecede) и вновь сблизившегося с
назв. первых трех букв латиницы (с добавлением адаптирующего
суфф. -dło). Аникин, 1, 69.",да?,да,Нотная азбука; букварь.,,"СлРЯ, 1, 18",,," Мусик. грам. Дил.,",1681,,"Обецадла же [Абецадла — сирѣчь буквари] вышереченныя сице разумѣй: въ них же писано гаммаутъ ... гами и протчая, — то есть правила мусикийскаго состояния. Мусик. грам. Дил., 53. 1681 г.",Лексика сферы культуры,,,
або,,abo,союз,,,"через укр. и блр. из польск. abo (Аникин 1, 70) ",,нет,,,"СлРЯ, 1, 18",,,,XVII в.,XVI в.,"Принужденъ быхъ, рече, ото оныхъ прибѣгшихъ воеводъ моих або самъ итти сопротивъ лафлянтовъ, або тебя, любимаго моего, послати. Курб. Ист., 247–248, XVII в. ∞ XVI в. Або — или. Алф., 14 об. XVII в. || Сл.Шрове. Сл.Ридлея, страница. XVI в.",Cлужебные слова,,,
авторъ,,autor,м.,,,"из польск. autor ‛автор, создатель, творец’ < лат. auctor ‛виновник,
основатель, писатель, автор’ от augeō ‛умножаю, увеличиваю’
(Фасм. 1: 60). Для польск. не исключено посредство или влияние
нем. Autor < лат. В рус. из польск., вероятно, через укр. и блр. (Аникин, 1, 86).
 ",,да," Творец, деятель, работник.",,"СлРЯ, 1, 20",,,Алф.,XVII в.,,"Авторъ — работникъ. Алф., 22 об., XVII в.",Лексика сферы культуры,"В текстах XVIII в. аутор, ауктор, авктор
‛зачинатель, основатель, виновник, зачинщик’, ‛сочинитель
книги, документа и т. п.’ (СлРЯ XVIII 1: 19).  Рус. формы XVIII в. на авк-,
аук- — книжные заимств. непосредственно из лат. или полонизмы,
испытавшие влияние лат. auctor. (Аникин, 1, 86).",,
авторовъ,,autorowy,прил.,ауторовый,,см. авторъ,нет,да,относящийся к автору; принадлежащий автору',,"СлРЯ, доп, 8 ",,(История Сарматии Европской) Соболевский.,,1611,," История Сарматии Европской... отъ Мартина Пашковскаго попечениемъ авторовымъ (съ) латинскаго на польский истолковася. (Опис.Сарматии) Соболевский, 76. 1611 г. ",Лексика сферы культуры,,,
агатъ,,agat,м.,,,Аникин: НЕ ПОЛОНИЗМ,,,,,"СлРЯ, 1, 20 ",,,,1670,,"О островѣ Милене... Камень мрамур и агатъ тут есть. Козм., 325. 1670 г. // K 1598",,,,
агатовъ,,agatowy,прил.,,,см. агатъ,,,,,"СлРЯ, 1, 20 ",,,,XVII в.,1534,"Камень агатовъ собою чернъ есть имѣя на себѣ аки струи нѣкия бѣлыя подобны тонкостию власу. Травник Любч., 654. XVII в. ∞ 1534 г.",,,,
агентъ,,"agent, ajent (handlowy)",м.,,,"Могло быть заимствовано сначала из польск. agent
(ajent) и, вторично (в XVII в.) — из швед. agent и/или нем. Agent. Этимон этих
слов — лат. agēns, -ntis, род. ед. PPA к ago ‘привожу в движение’ =
agēns ‘истец; сыскной агент’ (Аникин, 1, 91).",нет.,да,"1. Доверенное лицо, представитель иностранного государства. 1.1. Торговый представитель, посредник.",,"СлРЯ, 1, 20",,,,1584,,"Пожаловали есмя аглинские земли купцовъ... Ульяна Товерсона да Ульяна Тронбура агента с товарыщи, ослободили есмя имъ ходити на кораблехъ въ свое государство въ Двинскую землю со всякими товары. Англ. д., 142. 1584 г.",Торговая лексика,,,
агентъ,,"agent, ajent (dyplomatyczny)",м.,,,"Могло быть заимствовано сначала из польск. agent
(ajent) и, вторично (в XVII в.) — из швед. agent и/или нем. Agent. Этимон этих
слов — лат. agēns, -ntis, род. ед. PPA к ago ‘привожу в движение’ =
agēns ‘истец; сыскной агент’ (Аникин, 1, 91).",нет.,да,"Доверенное лицо, представитель иностранного государства.",,"СлРЯ, 1, 20",,,,1638,,"Октября въ 9 день сказывалъ въ посольскомъ приказѣ голштинского Фридерика князя агентъ Балтазаръ Демушаранъ. АМГ II, 92. 1638 г. ",,,,
агентский,,???,прил. ,,,см. агентъ,да?,да,Принадлежащий агенту.,,"СлРЯ, 1, 20.",,Козм.,,1670 г.,1655-1667 гг.,"В томъ городе многих великородных людей дворы, из разных государствъ агентские и купеческие и тутошных мещанъ честных богатых людей многие изрядно стройные. Козм., 220. 1670 г.",Торговая лексика,,,
адамашка,,adamaszek,ж.,"одамашка, дамашка",,"Из литер. яз. Юго-Западной Руси и/или ст.-польск., cр. укр. адамáшка, адамáшок,
ст.-укр. адамашъка 1488, блр. адамáшка ‛шелковая материя’,
ст.-блр. адамашка 1441—1480.
Вост.-слав. < ст.-польск. adamaszek XV < ср.-лат. adamaschus ‛дамаскский’
< греч. δαμασκός, далее ср. др.-евр.
Dammešeq (обычно Darmešek), араб. Dimišk, Dimašk < др.-егип.
Timasku (tjmsqw). (Аникин, 1, 98).",нет.,да,"Название шелковой ткани, привозимой из Дамаска.",,"СлРЯ, 1, 22 ",,,"Заб. Дом. быт, I",1626,,"Къ государю въ хоромы...камки адамашки мелкотравной лазоревой взялъ крестовой дьякъ Яковъ Дмитреевъ. Заб. Дом. быт, I, 687. 1626 г. // K2
1492; V 16 w.",Названия тканей,"Дамаск уже в древности славился тканями и оружием. С итал. Damasco, лат. Damascus (< греч.) связаны итал. damasco ‛вид ткани’, ‛клинок с насечками’, нем. (< итал.) Damast ‛камка, ткань’ (ранее damask, ср.-в.-нем. damasch), франц. damas ‛дамá’, ‛дамасский клинок, булат’ и прошедшие зап.-евр. посредство слав. назв. ткани ст.-укр. дамаска, болг. дамáск, дамáска, с.-хорв. dàmašak damaška, чеш. damašek, ст.-чеш., слвц. damask (в слвц. ранее также
damašk, damast), в.-луж., н.-луж. damašk, damast (см. подр.
Brück.: 2; Mach.: 110; ЭСБМ 1: 77; Фасм. 1: 61—62; Batt. 4: 5;
VWSS 1: 9; Kiss 1: 353; Kl.: 23). К этому ряду примыкает и ст.-
рус. дамашка. Ср. ср.-н.-нем. (в документах Тевтонского Ордена)
tamaschke, tomaschke < польск. (Gard. 1965: 53). (Аникин, 1, 98-99).",,
адамашковый,,adamaszkowy,прил.,,,см. адамашка,,да,,,в СлРЯ нет, ,,,,,КАРТОТЕКА C 1691,,,,
адвокатъ,,adwokat,м.,,,Аникин: НЕ ПОЛОНИЗМ,,,,,,,,,,,H 16/17 w.,Названия профессий,,,
администраторъ,,administrator,м.,,," Из литер. яз. Юго-Западной
Руси, ср. укр. адмiнiстрáтор, блр. адмiнiстрáтар, администраторъ
1544, а также (ст.-)польск. administrator
(XVI) < лат. admistrātor ‛распорядитель, наместник’ от
administro в знач. ‛заведую, управляю’. (Аникин, 1, 102-103).",,да,,,"СлРЯ, 1, 22",,,,1578,,"А ты писался администраторомъ и гетманомъ Лифлянские земли. ДАИ I, 179. 1578 г.",Названия государственных должностей и чинов,,,
администраторство,,administratorstwo,ср.,,,см. администратор,да?,да,"Должность, деятельность администратора (правителя, наместника).",,"СлРЯ, 1, 22",,,ДАИ I,1578,,"Также бъ и ты досаду свою отложилъ и нашей вотчинѣ шкоты никакие не дѣлалъ, а о администраторствѣ кручину отложилъ. ДАИ I, 179. 1578 г.",Названия государственных должностей и чинов,,,администраторъ
администрация,,administracja,ж.,,,"из лат. administratiō через ст.-укр., польск. administracja, ст.-польск. administracyja
XVI (Аникин, 1, 103). ",,да,,,,,,,,,IL(66)17/18w.,,,,
